dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
snb_sf30,snb,165430,12035314,64,3,0,reduplicateRows (dst),ONLINE,20.730,0
snb_sf30,snb,165430,12035314,64,3,0,reduplicateRows (src),ONLINE,23.520,0
snb_sf30,snb,165430,12035314,64,3,0,unionWith (dst),ONLINE,13.150,0
snb_sf30,snb,165430,12035314,64,3,0,unionWith (src),ONLINE,16.380,0
snb_sf30,snb,165430,12035314,64,3,0,src branch (total),ONLINE,496.900,0
snb_sf30,snb,165430,12035314,64,3,0,parallel_sort (dst),ONLINE,285.050,0
snb_sf30,snb,165430,12035314,64,3,0,dst branch (total),ONLINE,772.760,0
snb_sf30,snb,165430,12035314,64,3,0,parallel branches (wall),ONLINE,817.460,1
snb_sf30,snb,165430,12035314,64,3,0,unionWith (final),ONLINE,15.470,1
snb_sf30,snb,165430,12035314,64,3,0,CSV write,IO,5642.080,1
snb_sf30,snb,165430,12035314,64,4,0,CSV read (account),IO,70.500,1
snb_sf30,snb,165430,12035314,64,4,0,CSV read (txn),IO,8848.910,1
snb_sf30,snb,165430,12035314,64,4,0,buildNodeIndex,OFFLINE,233.820,1
snb_sf30,snb,165430,12035314,64,4,0,index copy (src),OFFLINE,42.170,1
snb_sf30,snb,165430,12035314,64,4,0,initProbeSide (dst),OFFLINE,414.560,0
snb_sf30,snb,165430,12035314,64,4,0,initProbeSide (src),OFFLINE,424.450,0
snb_sf30,snb,165430,12035314,64,4,0,initProbeSide (wall),OFFLINE,425.140,1
snb_sf30,snb,165430,12035314,64,4,0,deduplicateRows (src),ONLINE,10.060,0
snb_sf30,snb,165430,12035314,64,4,0,deduplicateRows (dst),ONLINE,12.480,0
snb_sf30,snb,165430,12035314,64,4,0,probe src,ONLINE,408.290,0
snb_sf30,snb,165430,12035314,64,4,0,reduplicateRows (src),ONLINE,22.370,0
snb_sf30,snb,165430,12035314,64,4,0,unionWith (src),ONLINE,16.020,0
snb_sf30,snb,165430,12035314,64,4,0,src branch (total),ONLINE,456.760,0
snb_sf30,snb,165430,12035314,64,4,0,probe dst,ONLINE,462.160,0
snb_sf30,snb,165430,12035314,64,4,0,reduplicateRows (dst),ONLINE,16.180,0
snb_sf30,snb,165430,12035314,64,4,0,unionWith (dst),ONLINE,9.230,0
snb_sf30,snb,165430,12035314,64,4,0,parallel_sort (dst),ONLINE,267.500,0
snb_sf30,snb,165430,12035314,64,4,0,dst branch (total),ONLINE,767.640,0
snb_sf30,snb,165430,12035314,64,4,0,parallel branches (wall),ONLINE,802.070,1
snb_sf30,snb,165430,12035314,64,4,0,unionWith (final),ONLINE,20.620,1
snb_sf30,snb,165430,12035314,64,4,0,CSV write,IO,5664.060,1
patents,snap,3774768,16518948,64,1,1,CSV read (account),IO,1352.690,1
patents,snap,3774768,16518948,64,1,1,CSV read (txn),IO,13414.390,1
patents,snap,3774768,16518948,64,1,1,buildNodeIndex,OFFLINE,4583.020,1
patents,snap,3774768,16518948,64,1,1,index copy (src),OFFLINE,520.060,1
patents,snap,3774768,16518948,64,1,1,initProbeSide (dst),OFFLINE,536.070,0
patents,snap,3774768,16518948,64,1,1,initProbeSide (src),OFFLINE,541.580,0
patents,snap,3774768,16518948,64,1,1,initProbeSide (wall),OFFLINE,542.320,1
patents,snap,3774768,16518948,64,1,1,deduplicateRows (src),ONLINE,14.160,0
patents,snap,3774768,16518948,64,1,1,deduplicateRows (dst),ONLINE,16.210,0
patents,snap,3774768,16518948,64,1,1,probe src,ONLINE,1394.690,0
patents,snap,3774768,16518948,64,1,1,reduplicateRows (src),ONLINE,30.380,0
patents,snap,3774768,16518948,64,1,1,unionWith (src),ONLINE,21.590,0
patents,snap,3774768,16518948,64,1,1,src branch (total),ONLINE,1460.840,0
patents,snap,3774768,16518948,64,1,1,probe dst,ONLINE,1500.070,0
patents,snap,3774768,16518948,64,1,1,reduplicateRows (dst),ONLINE,28.250,0
patents,snap,3774768,16518948,64,1,1,unionWith (dst),ONLINE,12.530,0
patents,snap,3774768,16518948,64,1,1,parallel_sort (dst),ONLINE,420.550,0
patents,snap,3774768,16518948,64,1,1,dst branch (total),ONLINE,1977.660,0
patents,snap,3774768,16518948,64,1,1,parallel branches (wall),ONLINE,2014.910,1
